"Word types: A = adjective, ADV = adverb, F = function word (non-specified), N = noun, NUM = numeral, V = verb.",,,,,,,,,,,
"AoA = Age of Acquisition, new = ratings collected for the present study, MRC = ratings (not specified for word class), available on the MRC Psycholinguistic Database (1997). Oxford: Medical Research Council.",,,,,,,,,,,
"Frequency = logarithm of combined written and spoken count divided by total words in corpus of Celex Database (Baayen, R.H., Piepenbrock, R. & Gulikers, L. (1995). The CELEX Lexical Database [CD ROM]. Philadelphia, PA: Linguistic Data Consortium, University of Pennsylvania).",,,,,,,,,,,
WORD,Word type,new AoA,new Imageability,MRC AoA,MRC Imageability,Frequency,AoA_Kup,Bird_recalc,Bird_recalc2,,
a,F,123,.,.,217,4.364,2.893384,2.12011,3.15624716,,Bird_recalc = -.287 + .01957*Bird
abate,V,606,198,.,.,0.3711,14.44,11.57242,11.93388344,,Bird_recalc2 = 2.042+.007209*Bird+0.00001504*Bird^2
able,A,309,.,.,284,2.517,7.79,5.76013,5.70561524,,
about,F,252,.,.,225,3.3318,5.070761,4.64464,4.81376816,,
above,F,229,.,.,346,2.2323,4.548568,4.19453,4.48157364,,
abroad,F,376,574,.,.,1.6381,10.15415,7.07132,6.87887904,,
absence,N,376,430,.,.,1.617,7.7,7.07132,6.87887904,,
absent,A,333,449,.,.,1.1183,6.5,6.22981,6.11036756,,
absolutely,ADV,435,331,.,.,1.9194,7.084934,8.22595,8.023859,,
absolve,V,600,258,.,.,0.2923,12.9,11.455,11.7818,,
abstain,V,583,373,.,.,0.5599,12.95,11.12231,11.35677756,,
abuse,V,555,491,.,.,0.8335,8.61,10.57435,10.675691,,
accept,V,389,471,.,.,2.3167,6.74,7.32573,7.12216884,,
accidie,N,652,100,.,.,-1.5539,#N/A,12.47264,13.13583216,,
accord,V,606,195,.,248,2.0503,9.65,11.57242,11.93388344,,
according,F,488,254,.,.,2.0503,8.44903,9.26316,9.14167776,,
accountant,N,526,604,.,.,1.0326,11.67,10.00682,9.99514104,,
accuse,V,420,.,.,.,1.5563,9.1,7.9324,7.722836,,
accused,N,427,556,.,.,0.5599,#N/A,8.06939,7.86247116,,
achieve,V,439,477,.,.,2.0737,8.53,8.30423,8.10527484,,
achievement,N,448,492,.,.,1.6002,8.8,8.48036,8.29022016,,
acknowledge,V,494,.,.,316,1.5332,9.11,9.38058,9.27354744,,
across,F,275,394,.,.,2.3599,6.63734,5.09475,5.161875,,
act,V,294,.,319,433,2.0919,6.42,5.46658,5.46144344,,
actually,ADV,374,286,.,.,2.3708,7.330045,7.03218,6.84190104,,
add,V,225,515,.,.,2.3694,5.1,4.11625,4.425425,,
administrator,N,585,542,.,.,1.0674,12.22,11.16145,11.406329,,
admire,V,420,.,.,390,1.6409,7.42,7.9324,7.722836,,
admit,V,349,476,.,.,1.9894,7.56,6.54293,6.38982804,,
admonish,V,578,.,.,302,0.2912,13.4,11.02446,11.23342536,,
adore,V,416,580,.,.,1.0856,7.95,7.85412,7.64370624,,
adult,N,290,655,.,526,1.9714,4.68,5.3883,5.397474,,
advance,V,431,461,.,.,1.464,8.35,8.14767,7.94292444,,
advanced,A,442,.,.,320,1.6364,9.05,8.36294,8.16665256,,
advise,V,442,422,.,.,1.6337,8.89,8.36294,8.16665256,,
aeroplane,N,229,.,259,.,1.0715,#N/A,4.19453,4.48157364,,
affair,N,528,.,.,361,1.9758,10.94,10.04596,10.04126336,,
affectionate,A,439,.,.,471,0.887,8.5,8.30423,8.10527484,,
affectionateness,N,572,421,.,.,-1.5539,#N/A,10.90704,11.08639536,,
affidavit,N,644,292,.,.,0.0253,15.69,12.31608,12.92222544,,
affirm,V,608,.,.,281,0.76,12.24,11.61156,11.98481856,,
affliction,N,566,453,.,.,0.3598,11.32,10.78962,10.94044824,,
Afghanistan,N,578,504,.,.,0.8041,#N/A,11.02446,11.23342536,,
afraid,A,246,.,.,451,2.0508,4.42,4.52722,4.72557464,,
Africa,N,380,616,.,.,2.0702,#N/A,7.1496,6.953196,,
after,F,218,.,.,217,2.8829,5.99792,3.97926,4.32832296,,
again,F,197,368,.,.,2.8865,5.78478,3.56829,4.04586036,,
against,F,288,.,.,285,2.7687,7.969465,5.34916,5.36566976,,
age,N,193,529,258,468,2.4637,4.38,3.49001,3.99356196,,
agree,V,294,469,.,.,2.2817,7.68,5.46658,5.46144344,,
ahead,F,321,480,.,.,1.9829,5.454413,5.99497,5.90582564,,
aid,V,412,475,.,413,0.9699,7.33,7.77584,7.56505776,,
aim,N,357,504,344,383,1.7326,6.72,6.69949,6.53244596,,
aimer,N,562,331,.,.,-1.5539,9.85,10.71134,10.84375176,,
air,N,233,469,.,450,2.4006,3.94,4.27281,4.53820356,,
air stewardess,N,513,639,.,.,-1.5539,#N/A,9.75241,9.69827876,,
airbrush,V,624,278,.,.,-1.5539,12.06,11.92468,12.39663104,,
airman,N,437,573,.,.,0.1931,10.58043,8.26509,8.06450676,,
alarm,N,319,596,.,.,1.3361,6.39,5.95583,5.87215644,,
alarm,V,412,477,.,.,1.1959,6.39,7.77584,7.56505776,,
Alaska,N,511,529,.,.,-1.5539,#N/A,9.71327,9.65305884,,
Albania,N,593,405,.,.,-0.2518,#N/A,11.31801,11.60573796,,
alcoholic,N,583,585,.,.,0.8189,9.95,11.12231,11.35677756,,
alert,V,488,453,.,428,0.9567,8.9,9.26316,9.14167776,,
algebra,N,492,499,.,510,0.3034,11.47,9.34144,9.22947056,,
Algeria,N,559,428,.,.,0.837,#N/A,10.65263,10.77154524,,
alive,A,277,.,.,426,1.8021,5.11,5.13389,5.19289716,,
all,F,180,.,.,332,2.1668,4.239515,3.2356,3.826916,,
alligator,N,332,.,369,627,0.1943,4.78,6.21024,6.09315696,,
allot,V,545,273,.,.,0.734,13.67,10.37865,10.438161,,
allow,V,340,.,.,373,2.4233,5.32,6.3668,6.231684,,
almost,F,296,315,.,.,2.6728,5.46507,5.50572,5.49360864,,
along,F,263,293,.,.,2.2749,5.411785,4.85991,4.97826876,,
also,F,273,.,.,264,2.9645,6.63734,5.05561,5.13097316,,
alter,V,351,.,.,413,1.5953,9.47,6.58207,6.42530204,,
although,F,378,.,.,208,2.4815,8.076035,7.11046,6.91597736,,
always,F,275,.,.,280,2.8209,6.264345,5.09475,5.161875,,
amaze,V,383,492,.,.,1.2243,7.5,7.20831,7.00924956,,
amazement,N,414,.,.,456,1,9.22,7.81498,7.60432184,,
ambience,N,631,254,.,.,0.0492,13.28,12.06167,12.57922044,,
amble,V,507,441,.,.,0.3711,11.87,9.63499,9.56297996,,
amend,V,536,368,.,.,0.6665,11.39,10.20252,10.22695584,,
America,N,343,652,.,.,-1.5539,#N/A,6.42551,6.28412796,,
amusement,N,357,533,.,.,1.0418,8.79,6.69949,6.53244596,,
an,F,204,.,.,195,3.5206,#N/A,3.70528,4.13854064,,
anarchy,N,596,387,.,.,0.616,13.94,11.37672,11.68101264,,
anatomy,N,585,508,.,.,0.9201,11.94,11.16145,11.406329,,
and,F,164,.,.,226,4.4589,4.569882,2.92248,3.62879184,,
anger,N,288,566,.,488,1.7161,6,5.34916,5.36566976,,
anger,V,351,438,.,488,0.8839,6,6.58207,6.42530204,,
Anglican,N,541,442,.,.,0.3032,#N/A,10.30037,10.34399124,,
Anglicism,N,600,270,.,.,-1.5539,#N/A,11.455,11.7818,,
Anglo Catholic,N,614,298,.,.,-1.5539,#N/A,11.72898,12.13834584,,
angry,A,263,.,.,492,1.8238,4.45,4.85991,4.97826876,,
announce,V,414,424,.,.,1.8723,9.48,7.81498,7.60432184,,
annoy,V,311,457,.,.,1.2455,7.22,5.79927,5.73868284,,
annoyance,N,399,469,.,.,0.7889,9.47,7.52143,7.31277404,,
another,F,256,354,.,.,2.8458,5.049447,4.72292,4.87316544,,
Antarctic,N,460,576,.,.,0.0492,#N/A,8.7152,8.540604,,
antelope,N,446,596,.,.,0.7059,8.39,8.44122,8.24891064,,
anthropology,N,627,259,.,.,0.4548,14.61,11.98339,12.47470316,,
anticipate,V,524,351,.,.,1.3292,10.6,9.96768,9.94913904,,
anxiety,N,519,.,.,422,1.6234,8.17,9.86983,9.83466044,,
anxious,A,475,.,.,376,1.614,10.21,9.00875,8.859675,,
any,F,230,237,.,206,3.1025,5.99792,4.2141,4.495686,,
anyhow,F,332,212,.,.,1.2006,7.745668,6.21024,6.09315696,,
anyone,F,265,.,.,288,2.268,5.3585,4.89905,5.008569,,
anything,F,256,269,.,.,2.5883,6.115147,4.72292,4.87316544,,
anyway,F,298,234,.,.,2.1393,6.306973,5.54486,5.52589416,,
apart,F,340,.,.,364,0.3492,6.63734,6.3668,6.231684,,
ape,N,324,.,.,616,1.0394,5.89,6.05368,5.95655504,,
appear,V,359,.,.,341,2.4653,6.67,6.73863,6.56840124,,
appearance,N,397,442,.,425,1.7917,8.83,7.48229,7.27441236,,
appliance,N,509,.,.,554,0.7964,8.78,9.67413,9.60795924,,
appreciate,V,473,.,.,300,1.5423,8.8,8.96961,8.81674116,,
