Word,Word type,new AoA,Frequency
a,F,123,4.364
abate,V,606,0.3711
able,A,309,2.517
about,F,252,3.3318
above,F,229,2.2323
abroad,F,376,1.6381
absence,N,376,1.617
absent,A,333,1.1183
absolutely,ADV,435,1.9194
absolve,V,600,0.2923
abstain,V,583,0.5599
abuse,V,555,0.8335
accept,V,389,2.3167
accidie,N,652,-1.5539
accord,V,606,2.0503
according,F,488,2.0503
accountant,N,526,1.0326
accuse,V,420,1.5563
accused,N,427,0.5599
achieve,V,439,2.0737
achievement,N,448,1.6002
acknowledge,V,494,1.5332
across,F,275,2.3599
act,V,294,2.0919
actually,ADV,374,2.3708
add,V,225,2.3694
administrator,N,585,1.0674
admire,V,420,1.6409
admit,V,349,1.9894
admonish,V,578,0.2912
adore,V,416,1.0856
adult,N,290,1.9714
advance,V,431,1.464
advanced,A,442,1.6364
advise,V,442,1.6337
aeroplane,N,229,1.0715
affair,N,528,1.9758
affectionate,A,439,0.887
affectionateness,N,572,-1.5539
affidavit,N,644,0.0253
affirm,V,608,0.76
affliction,N,566,0.3598
afghanistan,N,578,0.8041
afraid,A,246,2.0508
africa,N,380,2.0702
after,F,218,2.8829
again,F,197,2.8865
against,F,288,2.7687
age,N,193,2.4637
agree,V,294,2.2817
ahead,F,321,1.9829
aid,V,412,0.9699
aim,N,357,1.7326
aimer,N,562,-1.5539
air,N,233,2.4006
air stewardess,N,513,-1.5539
airbrush,V,624,-1.5539
airman,N,437,0.1931
alarm,N,319,1.3361
alarm,V,412,1.1959
alaska,N,511,-1.5539
albania,N,593,-0.2518
alcoholic,N,583,0.8189
alert,V,488,0.9567
algebra,N,492,0.3034
algeria,N,559,0.837
alive,A,277,1.8021
all,F,180,2.1668
alligator,N,332,0.1943
allot,V,545,0.734
allow,V,340,2.4233
almost,F,296,2.6728
along,F,263,2.2749
also,F,273,2.9645
alter,V,351,1.5953
although,F,378,2.4815
always,F,275,2.8209
amaze,V,383,1.2243
amazement,N,414,1
ambience,N,631,0.0492
amble,V,507,0.3711
amend,V,536,0.6665
america,N,343,-1.5539
amusement,N,357,1.0418
an,F,204,3.5206
anarchy,N,596,0.616
anatomy,N,585,0.9201
and,F,164,4.4589
anger,N,288,1.7161
anger,V,351,0.8839
anglican,N,541,0.3032
anglicism,N,600,-1.5539
anglo catholic,N,614,-1.5539
angry,A,263,1.8238
announce,V,414,1.8723
annoy,V,311,1.2455
annoyance,N,399,0.7889
another,F,256,2.8458
antarctic,N,460,0.0492
antelope,N,446,0.7059
anthropology,N,627,0.4548
anticipate,V,524,1.3292
anxiety,N,519,1.6234
anxious,A,475,1.614
any,F,230,3.1025
anyhow,F,332,1.2006
anyone,F,265,2.268
anything,F,256,2.5883
anyway,F,298,2.1393
apart,F,340,0.3492
ape,N,324,1.0394
appear,V,359,2.4653
appearance,N,397,1.7917
appliance,N,509,0.7964
appreciate,V,473,1.5423
appreciation,N,494,1.0835
aquamarine,N,576,-0.1079
arabic,N,583,0.6964
arcade,N,463,0.6042
arch,N,353,1.2357
arch,V,471,0.9232
archaeologist,N,562,0.5988
archaeology,N,568,0.9619
architect,N,524,1.2669
arctic,N,452,0.2095
argentina,N,517,0.8156
argue,V,319,2.0755
around,F,277,2.48
arrange,V,359,1.9477
art,N,330,2.2251
article,N,404,1.7925
artist,N,345,1.8713
artistic,A,427,1.2005
artwork,N,456,-1.5539
as,F,225,3.0451
ascend,V,448,0.8299
ask,V,195,2.913
ass,N,305,1.0306
assault,V,493,0.943
assert,V,551,1.3568
assess,V,551,1.3674
assimilate,V,631,0.8
assist,V,441,1.3059
assistant,N,402,1.5317
assume,V,492,2.0412
astrology,N,562,0.316
at,F,185,3.7479
ate,V,189,2.4617
atheism,N,602,-0.2518
attack,N,385,2.0462
attack,V,387,1.8458
attempt,N,380,2.0416
attempt,V,385,1.8945
attend,V,359,1.8743
attendance,N,353,1.1219
attest,V,608,0.2529
auburn,N,490,0.0682
audiology,N,631,-1.5539
australia,N,395,1.6075
austria,N,498,0.9671
autocracy,N,637,-0.1367
avail,N,597,0.4548
avarice,N,610,0.1271
avoid,V,422,2.0604
await,V,446,1.3448
awake,V,326,0.9053
award,V,402,1.129
aware,A,391,1.9946
awareness,N,448,1.3836
away,F,239,2.8319
awe,N,493,0.9175
awful,A,319,1.7777
awkward,A,364,1.2986
azure,N,549,-0.3468
baboon,N,444,0.6503
baby,N,157,2.4118
babyminder,N,469,-1.5539
babysit,V,469,-1.5539
back,F,222,2.9941
back,N,313,2.2929
backbencher,N,629,0.2923
backwards,F,294,1.2949
bad,A,166,2.5198
badger,N,359,0.8645
badly,ADV,303,1.748
bake,V,244,1.3735
baker,N,252,1.2398
ballet,N,370,1.2036
ballgown,N,465,-1.5539
ban,V,469,1.3058
banana,N,193,0.9261
bandage,V,263,0.5667
bang,V,199,1.2095
bank clerk,N,475,-1.5539
bank manager,N,482,-1.5539
baptist,N,551,0.4955
bare,A,329,1.5752
bare,V,454,0.6502
barmaid,N,512,0.1271
barman,N,522,0.7597
barrister,N,597,0.7559
basic,A,498,2.0329
baste,V,522,0.3032
bat,N,250,1.1588
bat,V,321,0.8002
bath,V,191,0.7846
bathe,V,263,0.9595
battle,N,319,1.9097
bawl,V,380,0.6222
be,V,298,4.5842
be able,V,311,
bear,N,220,1.2095
bearing,N,536,0.8645
beat,V,313,1.9358
beautiful,A,279,2.0642
beaver,N,389,0.4547
because,F,258,3.1205
become,V,336,2.922
bee,N,193,1.2214
before,F,246,2.3003
befriend,V,454,0.3263
beggarman,N,397,-1.2218
begin,V,271,2.8354
beginning,N,332,1.881
behave,V,227,1.6636
behind,F,227,2.4594
beige,N,452,-0.301
being,N,456,1.9649
belgium,N,473,1.0026
believe,V,336,2.6308
belle,N,524,0.4192
belong,V,332,1.9183
below,F,267,1.852
bend,V,246,1.8187
beneath,F,294,1.3426
benefit,N,496,2.096
benefit,V,482,1.2875
beside,F,296,1.954
best,A,241,3.1628
better,A,235,3.1628
better,V,418,1.2862
betterness,N,542,-1.5539
between,F,286,2.8702
beyond,F,372,2.1601
bide,V,517,-0.1367
big,A,155,2.5959
bigger,A,201,2.5959
binman,N,336,-1.5539
biochemistry,N,635,0.2648
biologist,N,590,0.6812
biology,N,551,1.0955
birth,N,317,1.7995
bison,N,471,0.4714
bit,N,220,2.4231
black,N,208,1.7753
blame,V,326,1.6683
blew,V,265,1.9253
blink,V,277,1.1381
blue,N,206,1.4747
blue tit,N,353,-1.5539
blush,V,385,1.0349
boa constrictor,N,519,-1.5539
boat,V,442,0.1089
boil,V,294,1.6325
bolivia,N,604,0.2253
bomb,N,399,1.6146
bomb,V,433,1.0993
bomb aimer,N,547,-1.5539
bonus,N,538,0.9976
boo,V,327,0.1614
book,N,174,2.6381
bookkeeper,N,504,0.2788
born,A,256,1.9604
borrow,V,312,1.4907
botanist,N,570,0.3385
botany,N,568,0.3704
both,F,256,2.7858
bother,V,336,1.7671
bottom,N,185,1.9301
bowl,N,228,1.5187
bowl,V,355,1.107
box,V,340,-0.0487
boy,N,150,2.5442
brain,N,326,1.8743
braise,V,551,-0.4089
brazil,N,510,1.0095
break,N,376,1.4811
break,V,230,2.3601
break and enter,V,555,-1.5539
breakfast,N,167,1.7441
breathe,V,232,1.6453
breed,V,465,1.2799
bric a brac,N,575,-1.5539
bricklayer,N,437,0.2648
bridge,N,284,1.8209
brief,A,439,1.6398
bright,A,292,1.9296
brighten,V,372,0.6866
bring,V,247,2.7098
britain,N,316,2.3672
broad,A,376,1.7067
broaden,V,445,0.7846
bronze,N,448,1.211
brood,V,527,1.0048
brown,N,243,0.9619
brush,N,198,1.2184
brush,V,236,1.3755
brutal,A,488,1.1237
brutality,N,544,0.7846
buddha,N,609,0.42
buddhism,N,611,0.0899
buddhist,N,611,0.6107
budgerigar,N,376,-0.301
buffalo,N,411,0.871
bug,N,383,0.6866
build,V,251,2.3842
builder,N,343,1.0394
built,A,292,2.3842
bulgaria,N,578,0.1931
bull,N,286,1.44
bully,N,349,0.6042
bully,V,359,0.943
bungalow,N,380,0.887
bungee jump,V,625,-1.5539
burma,N,578,0.5024
burst,V,294,1.5809
burundi,N,644,-0.5528
bury,V,313,1.7004
bus driver,N,254,-1.5539
businessman,N,482,1.3662
but,F,233,3.7334
butter,V,235,0.4192
buy,V,237,2.4093
by,F,231,3.6381
cabinet minister,N,578,-1.5539
calculate,V,473,1.4812
calf,N,294,1.3142
call,V,254,2.8416
callousness,N,597,-0.0506
calm,A,395,1.4042
calm,N,482,0.9318
camel,N,303,1.3994
can,V,197,3.598
canada,N,404,1.3786
canary,N,326,0.5106
cannot,V,267,2.394
car maker,N,460,-1.5539
care,V,338,2.0846
carer,N,523,-1.5539
carpenter,N,387,0.6107
carpet,N,244,1.4779
carpet fitter,N,486,-1.5539
carpet layer,N,501,-1.5539
carve,V,362,1.2911
cast,V,471,1.6146
caste,N,597,0.76
categorise,V,595,0.301
catholic,N,477,1.1973
catholicism,N,536,0.1461
cause,V,416,2.2349
cerise,N,551,-1.2218
certain,A,372,2.0215
certainly,ADV,385,2.3562
ceylon,N,534,-1.5539
chad,N,640,0.4456
chance,N,368,2.237
change,N,338,2.3256
change,V,332,2.663
chaos,N,516,1.1849
chap,N,394,1.4513
charlady,N,495,-0.5528
charming,A,415,1.3448
chart,N,413,1.255
chart,V,506,0.2385
chase,V,282,1.3071
chasm,N,547,0.4099
chastise,V,522,-0.0757
chat,V,348,1.0674
chatter,V,359,1.0095
cheat,N,335,0.1451
cheat,V,338,1.1451
check,V,383,1.9198
cheer,V,308,1.1784
cheerful,A,314,1.267
cheerfulness,N,366,0.2253
cheetah,N,456,-0.1739
chef,N,469,0.525
chemical,N,497,1.3817
chemist,N,398,0.871
chemistry,N,478,1.1237
chew,V,223,1.3047
chic,N,562,0.2095
child,N,221,3.0347
childminder,N,521,-1.5539
children,N,226,3.0347
chile,N,575,0.7474
chill,N,376,0.8228
chimpanzee,N,376,0.5328
china,N,445,1.723
chinchilla,N,570,-0.6508
chipmunk,N,564,-0.9518
choice,N,379,2.0637
choke,V,318,1.1587
chop,N,333,0.7014
chop,V,297,1.29
chorus,N,379,1.0143
chose,V,331,2.2538
christian,N,389,1.3746
christian science,N,607,-1.5539
christian scientist,N,616,-1.5539
christianity,N,432,1.152
chuckle,V,355,0.8041
church of england,N,392,-1.5539
church of scotland,N,532,-1.5539
church of wales,N,562,-1.5539
cigarette,N,264,1.8523
cinder,N,325,0.2095
circle,V,340,1.0503
civil,A,519,1.8296
civil servant,N,581,-1.5539
clang,V,402,0.4953
clarity,N,564,1.035
class,N,256,2.4385
clatter,V,370,0.8156
clean,A,213,1.7975
clean,V,236,1.7818
cleaner,N,346,1.0523
cleft,N,553,0.5024
clergyman,N,443,0.8506
clerk,N,465,1.4787
cleverness,N,411,0.3032
clip,V,385,0.6767
clockmaker,N,437,-1.5539
close,V,245,2.081
clothes designer,N,549,-1.5539
clothing,N,301,1.536
club,N,351,2.0864
coach,N,346,1.536
coachman,N,407,0.2095
coast,N,311,1.7038
cobbler,N,327,-0.0223
cock,N,316,0.8544
cod,N,368,0.9903
cogitate,V,635,-1.2218
cold,A,180,2.2193
cold,N,256,1.362
coldness,N,325,0.42
collate,V,607,-0.0223
collect,V,346,1.8447
college,N,484,2.0124
colour,N,214,2.0464
columbia,N,598,-1.5539
comb,V,217,0.9484
combine,V,474,1.8227
come,V,244,3.2931
comfort,N,348,1.5732
comfort,V,389,1.3246
commend,V,532,0.6395
common,A,416,2.2755
communicate,V,493,1.3775
communism,N,613,1.1486
communist,N,611,1.4302
compassion,N,568,0.9405
compensate,V,585,1.0835
complain,V,402,1.7142
complaint,N,432,1.4444
compose,V,488,1.4211
compound,N,589,1.2683
compound,V,603,0.8837
comprehend,V,549,0.8837
compromise,V,581,0.8
computer operator,N,633,-1.5539
computer programmer,N,635,-1.5539
computer salesman,N,631,-1.5539
computing,N,628,0.8189
concentrate,V,445,1.7822
concept,N,592,1.7952
condemn,V,525,1.4615
