Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
aardvark,6.26,2.21,19,2.41,1.4,22
abalone,5.3,1.59,20,2.65,1.9,20
abandon,2.84,1.54,19,3.73,2.43,22
abandonment,2.63,1.74,19,4.95,2.64,21
abbey,5.85,1.69,20,2.2,1.7,20
abdomen,5.43,1.75,21,3.68,2.23,22
abdominal,4.48,1.59,23,3.5,1.82,22
abduct,2.42,1.61,19,5.9,2.57,20
abduction,2.05,1.31,19,5.33,2.2,21
abide,5.52,1.75,21,3.26,2.22,23
abiding,5.57,1.75,23,3.59,2.26,22
ability,7.0,1.59,20,4.85,2.74,20
abject,4.0,1.29,19,3.94,2.41,17
ablaze,5.15,1.79,20,6.75,2.12,20
able,6.64,1.79,22,3.38,2.25,21
abnormal,3.53,1.22,19,4.48,2.29,21
abnormality,3.05,1.81,19,5.0,2.62,22
abode,5.28,1.27,18,2.9,1.89,21
abolish,3.84,1.54,19,4.18,2.07,17
abominable,4.05,1.23,20,5.45,2.44,22
abomination,2.5,1.65,18,5.9,2.59,20
abort,3.1,1.37,20,5.8,2.44,20
abortion,2.58,1.84,19,5.43,2.38,47
abracadabra,5.11,2.52,18,5.27,2.64,22
abrasive,4.26,1.69,19,6.1,1.89,21
abreast,4.62,1.94,21,4.61,2.33,23
abrupt,3.28,1.64,18,5.23,2.0,22
abscess,2.79,1.58,19,4.0,2.38,20
absence,3.86,2.08,21,4.3,2.13,20
absent,4.1,1.55,21,3.72,2.48,25
absinthe,3.53,1.98,19,3.7,2.34,20
absolute,5.43,1.4,21,3.48,2.27,23
absolution,6.58,1.68,19,3.38,2.11,21
absolve,4.58,1.54,19,3.53,1.94,17
absorb,5.5,1.6,22,4.27,1.91,22
abstain,4.4,0.94,20,3.1,1.81,21
abstinence,3.43,1.63,21,3.15,2.37,20
abstract,5.25,1.59,20,3.96,2.9,24
absurd,4.45,1.92,40,4.02,2.06,43
absurdity,4.06,2.18,18,4.7,2.36,23
abundance,6.67,1.5,18,4.72,2.7,18
abundant,7.55,1.39,20,4.21,2.7,19
abuse,1.53,1.07,19,6.21,2.17,42
abusive,2.05,1.7,20,5.27,2.43,22
abysmal,3.45,1.39,20,3.91,1.98,23
abyss,3.9,1.51,21,4.85,2.41,20
academic,6.61,1.54,18,3.32,2.23,22
academy,5.32,1.89,19,3.77,2.16,22
accelerant,4.59,1.59,22,4.81,2.14,26
accelerate,6.1,1.48,21,6.04,1.77,23
accelerated,6.21,1.55,19,4.75,2.67,24
acceleration,6.19,1.54,21,6.73,2.1,22
accelerator,5.63,1.16,19,5.0,2.45,18
accent,6.48,1.54,21,4.95,2.67,20
accept,6.39,1.65,18,2.8,2.26,20
acceptable,6.59,1.53,22,3.65,2.33,23
acceptance,6.84,1.31,38,4.3,2.82,46
access,6.68,1.39,22,5.3,2.32,20
accessible,6.68,1.38,19,3.2,2.42,25
accessory,5.35,1.9,20,4.22,2.69,18
accident,2.55,1.25,42,4.93,2.56,43
accidental,3.46,1.25,24,4.0,2.47,20
acclaim,6.1,1.61,21,3.95,2.01,22
accommodate,6.35,1.73,20,3.0,1.61,18
accommodation,6.76,1.7,21,4.72,2.07,25
accompany,5.47,1.22,19,3.85,1.84,20
accomplice,4.6,1.39,20,4.5,2.61,20
accomplish,7.45,1.15,20,5.16,2.81,19
accomplishment,8.05,0.86,21,4.96,2.3,25
accord,6.38,1.56,21,2.85,1.9,20
accordion,5.26,2.08,19,2.94,2.21,18
account,5.39,1.61,18,3.76,2.49,21
accountability,4.89,1.94,19,3.7,2.27,20
accountable,5.7,1.69,20,4.2,1.96,20
accountant,5.19,1.69,21,3.81,2.18,21
accounting,4.42,2.09,19,3.68,2.4,22
accumulate,6.33,2.0,18,2.73,2.27,22
accuracy,6.32,1.7,19,3.33,2.18,21
accurate,7.42,1.57,19,4.35,2.25,23
accursed,3.21,1.36,19,5.33,2.13,21
accusation,3.38,1.75,21,5.48,2.23,23
accuse,2.68,1.63,19,5.32,2.08,22
ace,6.37,1.34,19,4.64,2.38,22
acetylene,4.11,1.63,19,3.67,2.06,21
ache,3.27,2.01,40,4.3,2.26,47
achieve,7.75,1.16,20,4.7,2.96,23
achievement,7.28,2.15,40,5.57,2.17,23
achy,3.15,1.46,20,4.48,1.89,21
acid,3.26,2.02,19,4.77,2.37,22
acknowledge,6.43,1.86,21,3.26,2.18,23
acknowledgement,6.53,1.5,19,3.3,2.3,23
acne,2.18,1.47,17,4.47,2.5,19
acorn,5.85,1.76,20,4.42,2.32,24
acoustic,7.1,1.62,20,4.0,2.43,22
acoustics,6.33,1.2,21,3.19,1.83,21
acquaintance,5.58,1.35,24,3.24,1.64,21
acquire,5.5,1.76,20,4.86,2.01,22
acquisition,5.0,1.95,20,4.36,2.44,22
acquit,5.6,1.6,20,4.56,2.71,18
acquittal,6.19,1.72,21,4.95,2.31,20
acre,5.53,1.71,19,2.73,1.7,22
acreage,5.25,1.74,20,3.74,2.0,23
acrobat,6.0,1.3,20,4.9,2.14,21
acrylic,5.52,1.81,25,3.73,2.31,26
act,5.64,1.71,22,4.19,2.29,21
action,6.0,1.64,18,6.19,2.56,21
action figure,6.18,1.85,17,4.65,2.39,20
activate,5.7,1.77,40,3.78,2.54,23
activation,6.14,1.53,21,3.52,2.33,23
active,6.47,1.35,19,5.62,2.09,21
activist,6.24,1.84,21,5.26,2.33,19
activity,6.21,1.75,19,4.86,2.48,21
actor,6.15,1.27,20,4.35,2.28,20
actress,5.42,1.22,19,5.43,2.18,21
actual,6.22,1.48,18,2.75,1.94,20
actuality,5.4,1.47,20,5.55,2.28,20
acupuncture,4.81,2.23,21,4.9,2.63,20
acute,5.1,1.94,20,5.09,1.95,22
ad,4.11,1.45,19,3.33,2.17,18
adage,5.55,0.83,20,3.38,1.88,21
adamant,5.45,1.92,22,5.74,2.4,19
adapt,5.84,1.3,19,3.9,2.36,20
adaptation,5.82,1.84,22,3.55,1.92,22
add,6.23,1.77,22,4.0,2.38,20
adder,4.45,1.47,20,3.24,2.36,17
addict,2.86,1.93,21,5.33,2.44,45
addicted,2.89,2.11,19,4.77,2.33,22
addiction,3.52,1.81,21,4.48,2.87,23
addictive,3.52,1.72,21,4.82,2.7,22
additional,6.15,1.76,20,3.61,2.17,18
address,6.11,1.64,18,3.05,2.06,20
adept,6.14,1.56,21,4.17,2.35,23
adequate,4.7,1.56,20,3.64,2.13,22
adhere,5.17,2.12,18,3.52,2.18,21
adhesive,5.84,1.5,19,3.2,1.99,20
Adidas,5.77,1.38,22,4.18,2.74,22
adjacent,5.15,1.27,20,2.78,1.96,18
adjective,5.95,1.28,21,3.64,2.1,25
adjoining,5.06,1.26,18,3.52,2.04,21
adjourn,5.5,1.62,18,3.15,1.93,20
adjust,5.76,1.67,21,3.0,2.07,23
adjuster,4.25,1.41,20,3.5,1.74,22
adjustment,5.53,1.22,19,4.59,2.36,22
admin,4.37,1.71,19,3.64,2.5,22
administer,4.4,1.79,20,3.86,2.23,22
administration,4.45,1.36,20,3.23,2.0,22
administrative,4.79,1.62,19,3.21,2.2,19
administrator,5.32,1.59,22,4.74,2.35,19
admirable,7.0,1.97,21,4.57,2.63,23
