Word,rating,phonemes,totalMorphemes,concreteness,babyAVG
I,24.973684210526315,1.0,1.0,3.93,2.235294118
TV,13.424242424242424,4.0,1.0,4.83,2.5
a,12.210526315789474,1.0,1.0,1.46,3.4545454550000003
about,9.64864864864865,4.0,1.0,1.7699999999999998,2.4
above,12.936170212765957,4.0,1.0,3.3299999999999996,2.416666667
after,6.513513513513513,4.0,1.0,2.12,2.142857143
all,12.666666666666666,2.0,1.0,2.27,2.1875
alligator,6.611111111111111,7.0,1.0,4.96,1.307692308
am,9.59375,2.0,1.0,1.96,1.833333333
an,5.166666666666667,2.0,1.0,1.46,2.1
and,4.421052631578948,3.0,1.0,1.52,1.666666667
animal,12.394736842105264,6.0,1.0,4.61,4.888888889
ankle,9.605263157894736,4.0,1.0,4.81,4.454545455
another,6.186046511627907,5.0,1.0,2.69,2.133333333
ant,9.515151515151516,3.0,1.0,4.86,1.6
any,5.976190476190476,3.0,1.0,1.72,2.5
apple,8.342857142857143,3.0,1.0,5.0,3.5
are,5.852941176470588,1.0,1.0,1.96,2.0
arm,12.8,2.0,1.0,4.96,4.3
around,15.833333333333334,5.0,1.0,1.9599999999999997,2.909090909
asleep,21.15,5.0,1.0,3.71,7.19047619
at,10.27659574468085,,1.0,2.07,2.0
aunt,5.277777777777778,3.0,1.0,4.17,6.7
awake,16.92105263157895,4.0,1.0,3.32,6.2
away,13.333333333333334,3.0,1.0,2.23,1.916666667
baa,19.595238095238095,2.0,1.0,,5.6875
baby,24.536585365853657,4.0,1.0,5.0,10.0
back,26.55263157894737,3.0,1.0,4.33,3.5
bad,18.902439024390244,3.0,1.0,1.68,3.4166666670000003
ball,17.58823529411765,3.0,1.0,5.0,6.0
balloon,12.216216216216216,5.0,1.0,4.92,6.545454545
banana,10.657894736842104,6.0,1.0,5.0,3.083333333
basement,11.651162790697674,7.0,1.0,4.89,1.363636364
basket,8.028571428571428,6.0,1.0,5.0,5.0
bat,8.31578947368421,3.0,1.0,5.0,1.615384615
bath,6.548387096774194,3.0,1.0,4.85,7.666666667
be,10.775,2.0,1.0,1.85,2.235294118
beach,10.114285714285714,4.0,1.0,4.79,3.0
