Word,Word type,new AoA,Frequency,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,rating,phonemes,totalMorphemes,concreteness,babyAVG,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
a,F,123.0,4.364,,,,,,,12.210526315789474,1.0,1.0,1.46,3.4545454550000003,0.0,1.46,1.14,2.0,30.0,1041179.0
abate,V,606.0,0.3711,,,,,,,,,,,,,,,,,
able,A,309.0,2.517,6.64,1.79,22.0,3.38,2.25,21.0,,,,,,0.0,2.38,1.42,1.0,27.0,8155.0
about,F,252.0,3.3318,,,,,,,9.64864864864865,4.0,1.0,1.7699999999999998,2.4,0.0,1.77,0.95,0.0,26.0,185206.0
above,F,229.0,2.2323,,,,,,,12.936170212765957,4.0,1.0,3.33,2.416666667,0.0,3.33,1.34,0.0,24.0,2493.0
abroad,F,376.0,1.6381,,,,,,,,,,,,0.0,2.72,1.43,1.0,26.0,250.0
absence,N,376.0,1.617,3.86,2.08,21.0,4.3,2.13,20.0,,,,,,0.0,2.31,1.35,0.0,26.0,322.0
absent,A,333.0,1.1183,4.1,1.55,21.0,3.72,2.48,25.0,,,,,,0.0,2.7,1.44,0.0,30.0,131.0
absolutely,ADV,435.0,1.9194,,,,,,,,,,,,0.0,1.97,1.19,0.0,30.0,5769.0
absolve,V,600.0,0.2923,4.58,1.54,19.0,3.53,1.94,17.0,,,,,,0.0,1.85,1.01,1.0,27.0,29.0
abstain,V,583.0,0.5599,4.4,0.94,20.0,3.1,1.81,21.0,,,,,,0.0,2.38,1.42,0.0,29.0,26.0
abuse,V,555.0,0.8335,1.53,1.07,19.0,6.21,2.17,42.0,,,,,,0.0,2.71,1.27,0.0,28.0,523.0
accept,V,389.0,2.3167,6.39,1.65,18.0,2.8,2.26,20.0,,,,,,0.0,3.03,1.57,0.0,29.0,2692.0
accidie,N,652.0,-1.5539,,,,,,,,,,,,,,,,,
accord,V,606.0,2.0503,6.38,1.56,21.0,2.85,1.9,20.0,,,,,,0.0,1.57,1.04,3.0,26.0,83.0
according,F,488.0,2.0503,,,,,,,,,,,,0.0,1.63,0.74,0.0,27.0,2135.0
accountant,N,526.0,1.0326,5.19,1.69,21.0,3.81,2.18,21.0,,,,,,0.0,4.41,0.91,0.0,29.0,315.0
accuse,V,420.0,1.5563,2.68,1.63,19.0,5.32,2.08,22.0,,,,,,0.0,2.25,1.29,0.0,28.0,290.0
accused,N,427.0,0.5599,,,,,,,,,,,,0.0,2.93,1.38,0.0,27.0,666.0
achieve,V,439.0,2.0737,7.75,1.16,20.0,4.7,2.96,23.0,,,,,,0.0,2.29,1.3,0.0,28.0,374.0
achievement,N,448.0,1.6002,7.28,2.15,40.0,5.57,2.17,23.0,,,,,,0.0,2.37,1.5,0.0,30.0,178.0
acknowledge,V,494.0,1.5332,6.43,1.86,21.0,3.26,2.18,23.0,,,,,,0.0,2.03,1.33,0.0,31.0,313.0
across,F,275.0,2.3599,,,,,,,,,,,,0.0,3.07,1.21,0.0,28.0,4801.0
act,V,294.0,2.0919,5.64,1.71,22.0,4.19,2.29,21.0,,,,,,0.0,2.46,1.27,0.0,26.0,5565.0
actually,ADV,374.0,2.3708,,,,,,,,,,,,0.0,1.37,0.89,0.0,30.0,16439.0
add,V,225.0,2.3694,6.23,1.77,22.0,4.0,2.38,20.0,,,,,,0.0,3.0,1.51,0.0,30.0,1686.0
administrator,N,585.0,1.0674,5.32,1.59,22.0,4.74,2.35,19.0,,,,,,0.0,3.89,1.25,0.0,27.0,84.0
admire,V,420.0,1.6409,7.35,1.27,20.0,5.0,2.27,22.0,,,,,,0.0,2.04,1.1,0.0,28.0,722.0
admit,V,349.0,1.9894,5.56,1.79,18.0,3.35,2.43,20.0,,,,,,0.0,2.32,1.28,1.0,26.0,3019.0
admonish,V,578.0,0.2912,,,,,,,,,,,,,,,,,
adore,V,416.0,1.0856,7.37,1.38,19.0,5.96,2.33,23.0,,,,,,0.0,2.34,1.37,0.0,29.0,394.0
adult,N,290.0,1.9714,5.9,2.1,42.0,4.36,2.5,22.0,,,,,,0.0,4.4,0.87,0.0,25.0,729.0
advance,V,431.0,1.464,6.11,2.0,18.0,4.62,2.54,21.0,,,,,,0.0,2.57,1.26,0.0,28.0,815.0
advanced,A,442.0,1.6364,6.14,1.42,21.0,3.83,2.06,23.0,,,,,,0.0,1.83,1.23,0.0,29.0,451.0
advise,V,442.0,1.6337,5.44,1.39,25.0,3.38,2.27,21.0,,,,,,0.0,2.03,1.1,0.0,30.0,622.0
aeroplane,N,229.0,1.0715,,,,,,,,,,,,,,,,,
affair,N,528.0,1.9758,3.1,2.53,21.0,5.4,2.46,20.0,,,,,,0.0,2.45,1.27,0.0,29.0,1502.0
affectionate,A,439.0,0.887,7.23,1.77,22.0,4.77,2.65,22.0,,,,,,0.0,2.28,1.36,0.0,29.0,115.0
affectionateness,N,572.0,-1.5539,,,,,,,,,,,,,,,,,
affidavit,N,644.0,0.0253,4.38,1.2,21.0,3.73,2.43,22.0,,,,,,0.0,4.0,1.49,0.0,30.0,100.0
affirm,V,608.0,0.76,,,,,,,,,,,,0.0,1.96,1.2,0.0,28.0,17.0
affliction,N,566.0,0.3598,3.76,1.92,21.0,5.1,2.25,20.0,,,,,,0.0,2.27,1.17,0.0,30.0,60.0
afghanistan,N,578.0,0.8041,,,,,,,,,,,,,,,,,
afraid,A,246.0,2.0508,2.25,1.16,20.0,5.12,2.57,42.0,,,,,,0.0,2.7,1.39,0.0,30.0,12631.0
africa,N,380.0,2.0702,,,,,,,,,,,,,,,,,
after,F,218.0,2.8829,,,,,,,6.513513513513513,4.0,1.0,2.12,2.142857143,0.0,2.12,1.2,0.0,25.0,34812.0
again,F,197.0,2.8865,,,,,,,,,,,,0.0,2.0,1.25,0.0,28.0,40428.0
against,F,288.0,2.7687,,,,,,,,,,,,0.0,1.8,0.92,0.0,30.0,10288.0
age,N,193.0,2.4637,5.78,1.93,18.0,3.71,2.59,21.0,,,,,,0.0,2.86,1.53,0.0,29.0,4039.0
agree,V,294.0,2.2817,7.17,1.58,18.0,3.62,2.09,21.0,,,,,,0.0,2.31,1.26,0.0,26.0,3298.0
ahead,F,321.0,1.9829,,,,,,,,,,,,0.0,3.0,1.33,0.0,27.0,10115.0
